Time,Open,High,Low,Close,Volume,
2018-11-17 20:00:00, 5497.17, 5507.99, 5489, 5504.76, 243.62957655,
2018-11-17 21:00:00, 5504.76, 5507.86, 5485.01, 5486.03, 168.14696561,
2018-11-17 22:00:00, 5485.96, 5503.96, 5477.01, 5497, 197.58013874,
2018-11-17 23:00:00, 5496.85, 5507, 5494.7, 5504.17, 205.41702049,
2018-11-18 00:00:00, 5503.34, 5524.98, 5503.34, 5521.9, 143.45203655,
2018-11-18 01:00:00, 5522.73, 5523, 5506.95, 5509.73, 149.9917369,
2018-11-18 02:00:00, 5510.32, 5545, 5507.55, 5530.01, 301.42408211,
2018-11-18 03:00:00, 5530.01, 5554.87, 5530, 5546.76, 266.94596044,
2018-11-18 04:00:00, 5546.76, 5550, 5525, 5535, 305.5031759,
2018-11-18 05:00:00, 5534.07, 5548.76, 5528.07, 5539.7, 131.89662464,
2018-11-18 06:00:00, 5539.7, 5550.56, 5538.42, 5545.62, 108.52690096,
2018-11-18 07:00:00, 5545.62, 5549.13, 5530, 5530.01, 161.90862379,
2018-11-18 08:00:00, 5530, 5533.02, 5518.34, 5529.54, 159.39391619,
2018-11-18 09:00:00, 5529.55, 5533.43, 5524, 5526.13, 90.0070568,
2018-11-18 10:00:00, 5526.13, 5527.54, 5511.58, 5511.59, 85.00341238,
2018-11-18 11:00:00, 5511.58, 5519.65, 5510.01, 5518.17, 52.32672801,
2018-11-18 12:00:00, 5516.6, 5532.02, 5514.78, 5529.07, 136.78401627,
2018-11-18 13:00:00, 5529.07, 5530.5, 5516.24, 5516.25, 165.88889437,
2018-11-18 14:00:00, 5516.25, 5532, 5515, 5530.24, 155.50371236,
2018-11-18 15:00:00, 5530.26, 5536.37, 5523.77, 5533.56, 125.92069567,
2018-11-18 16:00:00, 5533.56, 5546.24, 5531.02, 5540.99, 189.05784915,
2018-11-18 17:00:00, 5540.98, 5541.98, 5535.35, 5538.64, 159.84781259,
2018-11-18 18:00:00, 5538.64, 5570.85, 5530, 5568.63, 232.52303515,
2018-11-18 19:00:00, 5567.65, 5665, 5560.84, 5569.33, 889.62396046,
2018-11-18 20:00:00, 5569.32, 5569.33, 5534, 5534.01, 185.83975267,
2018-11-18 21:00:00, 5534, 5547, 5523.57, 5544.71, 167.50958306,
2018-11-18 22:00:00, 5544.71, 5547, 5529, 5544.04, 148.41150128,
2018-11-18 23:00:00, 5544.04, 5560, 5541.54, 5560, 211.24344532,
2018-11-19 00:00:00, 5560, 5560, 5539.38, 5544.01, 223.00120724,
2018-11-19 01:00:00, 5544.01, 5544.01, 5457.34, 5510.96, 750.14793222,
2018-11-19 02:00:00, 5510.96, 5517.4, 5465.79, 5492.33, 257.38077095,
2018-11-19 03:00:00, 5492.33, 5518.34, 5489.48, 5515.09, 186.45040128,
2018-11-19 04:00:00, 5515.9, 5515.9, 5477.72, 5495.99, 207.47251215,
2018-11-19 05:00:00, 5495.99, 5496, 5306.94, 5430.44, 1783.23098222,
2018-11-19 06:00:00, 5430.79, 5432.48, 5369.94, 5391.51, 830.42162137,
2018-11-19 07:00:00, 5391.5, 5399.35, 5370, 5378.79, 250.90675274,
2018-11-19 08:00:00, 5378.78, 5378.79, 5170.61, 5278.78, 2741.56466424,
2018-11-19 09:00:00, 5278.78, 5283.26, 5173.21, 5203.43, 612.24077551,
2018-11-19 10:00:00, 5201.97, 5340.85, 5199.45, 5291, 1349.39387105,
2018-11-19 11:00:00, 5290.99, 5298.26, 5235.34, 5247.66, 269.72708905,
2018-11-19 12:00:00, 5249.09, 5275, 5213.61, 5230.01, 557.1527128,
2018-11-19 13:00:00, 5230, 5230.01, 5082.01, 5122.84, 3063.33775867,
2018-11-19 14:00:00, 5122.85, 5139.18, 5054.87, 5097.99, 2737.29211178,
2018-11-19 15:00:00, 5097.98, 5168.57, 5074.32, 5112.63, 1968.29992833,
2018-11-19 16:00:00, 5111.85, 5134.88, 4950, 5058.09, 4888.49176585,
2018-11-19 17:00:00, 5058.1, 5070, 5005, 5024.99, 1294.04213109,
2018-11-19 18:00:00, 5022.69, 5045, 4930, 4935.9, 2196.49478622,
2018-11-19 19:00:00, 4935.91, 4975.65, 4863, 4954.21, 4554.45172332,
2018-11-19 20:00:00, 4954.21, 5040, 4871.59, 4884.99, 2817.40981855,
2018-11-19 21:00:00, 4884.99, 4917.23, 4670.05, 4783.99, 4207.74546337,
2018-11-19 22:00:00, 4783.01, 4839.04, 4736.19, 4792.98, 2803.26160075,
2018-11-19 23:00:00, 4792.94, 4833.08, 4712.78, 4733.5, 1042.00392325,
2018-11-20 00:00:00, 4736.67, 4847.68, 4731.98, 4819.84, 1616.35639402,
2018-11-20 01:00:00, 4819.84, 4825, 4783.64, 4805.31, 1087.70523711,
2018-11-20 02:00:00, 4805.31, 4889, 4803.68, 4851.19, 1137.74113555,
2018-11-20 03:00:00, 4851.19, 4851.19, 4781.34, 4803.99, 1288.53674665,
2018-11-20 04:00:00, 4802.97, 4820.63, 4619, 4640.21, 2601.76273436,
2018-11-20 05:00:00, 4641.95, 4673.41, 4550.02, 4593.01, 3353.47767576,
2018-11-20 06:00:00, 4593.01, 4614.97, 4484, 4591.26, 3362.65779743,
2018-11-20 07:00:00, 4591.92, 4653.45, 4545.19, 4558.49, 1590.18269225,
2018-11-20 08:00:00, 4558.48, 4558.68, 4218.27, 4309.5, 5436.17824054,
2018-11-20 09:00:00, 4314.91, 4461.39, 4299.99, 4389.87, 3299.24538807,
2018-11-20 10:00:00, 4389.86, 4483.55, 4376.27, 4408.23, 1185.91025729,
2018-11-20 11:00:00, 4408.23, 4408.23, 4314.44, 4319.52, 1650.604668,
2018-11-20 12:00:00, 4319.51, 4444, 4319.24, 4380, 2309.3863475,
2018-11-20 13:00:00, 4380, 4424.81, 4352.63, 4388.99, 1403.61776958,
2018-11-20 14:00:00, 4388.99, 4698.36, 4369.04, 4639.78, 4057.89636866,
2018-11-20 15:00:00, 4639.78, 4753.31, 4590.02, 4749.81, 2917.00554064,
2018-11-20 16:00:00, 4749.81, 4759.32, 4635, 4662.26, 1741.56798699,
2018-11-20 17:00:00, 4661.11, 4670, 4451.52, 4457.14, 2682.62556117,
2018-11-20 18:00:00, 4457.14, 4564.82, 4450.72, 4546.17, 2281.75046137,
2018-11-20 19:00:00, 4546.17, 4573, 4476.25, 4500.19, 1888.12878392,
2018-11-20 20:00:00, 4499.88, 4500.08, 4035, 4268.98, 10098.95429038,
2018-11-20 21:00:00, 4268.98, 4431.14, 4231.14, 4334.48, 4563.50490174,
2018-11-20 22:00:00, 4334.48, 4390, 4220, 4246.9, 1781.70891762,
2018-11-20 23:00:00, 4246.9, 4396.36, 4180.01, 4349.23, 3260.37214912,
2018-11-21 00:00:00, 4349.24, 4381, 4285.86, 4318.87, 1556.89313033,
2018-11-21 01:00:00, 4320, 4338.73, 4239.01, 4295.18, 1421.65692859,
2018-11-21 02:00:00, 4295.19, 4403.83, 4295.18, 4370.39, 1490.97560057,
2018-11-21 03:00:00, 4371.55, 4500, 4335.35, 4443.85, 1833.03948944,
2018-11-21 04:00:00, 4443.7, 4466, 4373.38, 4455.88, 936.63740774,
2018-11-21 05:00:00, 4455.68, 4455.68, 4300, 4306, 872.61266305,
2018-11-21 06:00:00, 4306.03, 4438.34, 4298, 4415.46, 812.61400076,
2018-11-21 07:00:00, 4415.45, 4477.91, 4392.55, 4471.14, 652.20040227,
2018-11-21 08:00:00, 4471.14, 4627.55, 4443.01, 4583.42, 1464.51436839,
2018-11-21 09:00:00, 4583.42, 4624, 4543.18, 4545.3, 982.08899075,
2018-11-21 10:00:00, 4545, 4567.52, 4485.57, 4541.41, 811.29391307,
2018-11-21 11:00:00, 4541.41, 4572.15, 4486.57, 4495.11, 461.57908386,
2018-11-21 12:00:00, 4496.54, 4562.61, 4495.84, 4544.75, 650.91545926,
2018-11-21 13:00:00, 4544.09, 4548.76, 4436.02, 4450.01, 1022.5795693,
2018-11-21 14:00:00, 4450.01, 4454.92, 4380, 4421.33, 1428.26020677,
2018-11-21 15:00:00, 4421.33, 4547.13, 4421.33, 4515.01, 1401.50906544,
2018-11-21 16:00:00, 4515, 4546, 4474.39, 4495.57, 1128.46467824,
2018-11-21 17:00:00, 4495.57, 4500.62, 4360, 4433.99, 1911.58622013,
2018-11-21 18:00:00, 4433.99, 4464.99, 4404.84, 4428.63, 576.04880157,
2018-11-21 19:00:00, 4428.73, 4438.33, 4387.38, 4410.73, 840.36322368,
2018-11-21 20:00:00, 4410.01, 4485.75, 4375, 4411.63, 1403.09602568,
2018-11-21 21:00:00, 4413.91, 4491.96, 4335.58, 4450.99, 2297.548177,
2018-11-21 22:00:00, 4451.18, 4504.57, 4450, 4470.53, 658.27547618,
2018-11-21 23:00:00, 4470.53, 4576.14, 4452.66, 4545.11, 1901.6175359,
2018-11-22 00:00:00, 4545.12, 4558.94, 4503.96, 4519.32, 700.99525219,
2018-11-22 01:00:00, 4519.26, 4589, 4514.97, 4580, 662.57145966,
2018-11-22 02:00:00, 4580, 4581.79, 4531.39, 4546.01, 443.14841819,
2018-11-22 03:00:00, 4546.01, 4548.19, 4505.83, 4530.51, 558.79275717,
2018-11-22 04:00:00, 4530.51, 4549.48, 4495, 4513.3, 333.60593889,
2018-11-22 05:00:00, 4513.29, 4535.35, 4499.26, 4531.73, 854.14094622,
2018-11-22 06:00:00, 4531.7, 4532, 4479.95, 4502.15, 414.36081796,
2018-11-22 07:00:00, 4502.14, 4527.16, 4483.81, 4521.79, 282.70389474,
2018-11-22 08:00:00, 4521.79, 4527.16, 4507.04, 4522.23, 134.30714384,
2018-11-22 09:00:00, 4521, 4523.55, 4423.29, 4437.17, 522.74535628,
2018-11-22 10:00:00, 4437.17, 4482.64, 4433.31, 4467.88, 363.41617178,
2018-11-22 11:00:00, 4466.31, 4475.92, 4408.05, 4454.07, 401.04339236,
2018-11-22 12:00:00, 4454.07, 4455.04, 4392.32, 4411.24, 510.58572088,
2018-11-22 13:00:00, 4411.24, 4438.5, 4363.61, 4416.89, 557.37549647,
2018-11-22 14:00:00, 4416.78, 4483.14, 4415.04, 4453, 1084.93748257,
2018-11-22 15:00:00, 4453, 4472.28, 4437.07, 4454.41, 240.40103244,
2018-11-22 16:00:00, 4454.41, 4454.41, 4426.27, 4430.86, 402.01211019,
2018-11-22 17:00:00, 4430.86, 4465.38, 4430.85, 4456.8, 298.98430668,
2018-11-22 18:00:00, 4456.8, 4459.69, 4433, 4433.99, 214.5385718,
