Unix,Date,Symbol,Open,High,Low,Close,Volume ALGO,Volume USDT,tradecount
1600905600000,2020-09-24,ALGOUSDT,0.2693,0.3026,0.2633,0.2941,16928414.92,4774118.121779,16743
1600819200000,2020-09-23,ALGOUSDT,0.3063,0.31,0.263,0.269,18124984.07,5239142.277264,22308
1600732800000,2020-09-22,ALGOUSDT,0.288,0.3136,0.2748,0.3062,20205160.8,5948890.650762,24753
1600646400000,2020-09-21,ALGOUSDT,0.3274,0.3305,0.2742,0.2873,30174042.84,9000017.061635,41983
1600560000000,2020-09-20,ALGOUSDT,0.3424,0.3589,0.3115,0.3273,16875651.53,5650026.54171,25267
1600473600000,2020-09-19,ALGOUSDT,0.3366,0.3461,0.3248,0.3423,10759537.08,3595938.965386,14249
1600387200000,2020-09-18,ALGOUSDT,0.3566,0.3632,0.3281,0.3369,17559994.08,6089652.429897,25581
1600300800000,2020-09-17,ALGOUSDT,0.3599,0.376,0.3458,0.3565,16841409.99,6066286.377624,23841
1600214400000,2020-09-16,ALGOUSDT,0.3539,0.3628,0.3366,0.3598,13172327.16,4625918.724404,19713
1600128000000,2020-09-15,ALGOUSDT,0.3817,0.3884,0.3512,0.3539,14742851.04,5462022.510832,25905
1600041600000,2020-09-14,ALGOUSDT,0.3774,0.39,0.3651,0.3819,12947283.11,4907814.001722,25176
1599955200000,2020-09-13,ALGOUSDT,0.409,0.4159,0.3554,0.3774,18492942.27,7126688.204875,35015
1599868800000,2020-09-12,ALGOUSDT,0.4112,0.4181,0.3973,0.409,16999629.8,6879282.883932,30840
1599782400000,2020-09-11,ALGOUSDT,0.4128,0.4151,0.39,0.411,20103330.77,8098980.60188,31700
1599696000000,2020-09-10,ALGOUSDT,0.4129,0.45,0.4012,0.4131,31352357.41,13315904.167887,49682
1599609600000,2020-09-09,ALGOUSDT,0.3489,0.435,0.3376,0.413,38270938.03,14901644.664106,53111
1599523200000,2020-09-08,ALGOUSDT,0.3728,0.3766,0.3367,0.349,17930662.54,6294270.481345,26432
1599436800000,2020-09-07,ALGOUSDT,0.3756,0.3846,0.3293,0.3722,23012046.07,8213134.850927,30837
1599350400000,2020-09-06,ALGOUSDT,0.3419,0.3874,0.3189,0.3757,25122252.89,8916292.699393,33192
1599264000000,2020-09-05,ALGOUSDT,0.3738,0.3998,0.316,0.3415,31484038.26,11362557.948279,39268
1599177600000,2020-09-04,ALGOUSDT,0.3484,0.3877,0.3311,0.374,36460308.68,13197252.150067,50876
1599091200000,2020-09-03,ALGOUSDT,0.4638,0.4716,0.33,0.3486,45181712.17,18409481.277591,67425
1599004800000,2020-09-02,ALGOUSDT,0.5164,0.5271,0.4186,0.4638,40772253.14,19085945.826326,67277
1598918400000,2020-09-01,ALGOUSDT,0.5015,0.5536,0.489,0.5168,39136381.2,20556049.329928,65055
1598832000000,2020-08-31,ALGOUSDT,0.5182,0.5268,0.5014,0.5021,15634942.22,8066823.499965,30092
1598745600000,2020-08-30,ALGOUSDT,0.5335,0.55,0.5067,0.5181,19710998.33,10411955.51927,36611
1598659200000,2020-08-29,ALGOUSDT,0.5343,0.5483,0.5229,0.5334,15949179.44,8542540.925242,27341
1598572800000,2020-08-28,ALGOUSDT,0.5226,0.5625,0.5122,0.5337,23945614.88,12838646.015686,39121
