Unix,Date,Symbol,Open,High,Low,Close,Volume 1INCH,Volume USDT,tradecount
1676160000000,2023-02-12,1INCHUSDT,0.541,0.546,0.521,0.533,5909909.1,3172477.9081,12559
1676073600000,2023-02-11,1INCHUSDT,0.532,0.542,0.527,0.54,2287920.7,1218359.3221,6598
1675987200000,2023-02-10,1INCHUSDT,0.528,0.541,0.521,0.532,7121653.8,3786391.817,14931
1675900800000,2023-02-09,1INCHUSDT,0.565,0.573,0.512,0.528,20524104.7,11130324.8294,35760
1675814400000,2023-02-08,1INCHUSDT,0.587,0.597,0.545,0.565,8949136.1,5116684.9161,17384
1675728000000,2023-02-07,1INCHUSDT,0.554,0.59,0.545,0.586,12221668.6,6952065.4912,23127
1675641600000,2023-02-06,1INCHUSDT,0.56,0.596,0.551,0.554,10888769.6,6211997.87,21868
1675555200000,2023-02-05,1INCHUSDT,0.582,0.623,0.535,0.56,25218025.4,14838857.3559,48410
1675468800000,2023-02-04,1INCHUSDT,0.566,0.604,0.552,0.582,17772649.9,10335933.3202,32250
1675382400000,2023-02-03,1INCHUSDT,0.541,0.575,0.535,0.566,12579562.0,6973352.6085,22564
1675296000000,2023-02-02,1INCHUSDT,0.528,0.576,0.527,0.54,16884886.6,9247674.134,32549
1675209600000,2023-02-01,1INCHUSDT,0.513,0.53,0.489,0.528,16067525.4,8171449.7869,23672
1675123200000,2023-01-31,1INCHUSDT,0.509,0.518,0.502,0.514,6773150.3,3463424.6461,11711
1675036800000,2023-01-30,1INCHUSDT,0.541,0.545,0.489,0.509,11915161.3,6132506.0058,22688
1674950400000,2023-01-29,1INCHUSDT,0.529,0.543,0.519,0.542,7049689.3,3762294.774,13437
1674864000000,2023-01-28,1INCHUSDT,0.537,0.55,0.517,0.528,5567883.5,2961298.5516,12827
1674777600000,2023-01-27,1INCHUSDT,0.527,0.54,0.506,0.537,8637433.0,4496105.0506,18151
1674691200000,2023-01-26,1INCHUSDT,0.535,0.549,0.513,0.527,8776268.0,4659793.6762,18307
1674604800000,2023-01-25,1INCHUSDT,0.513,0.585,0.498,0.534,25506017.3,13474502.7183,53161
1674518400000,2023-01-24,1INCHUSDT,0.535,0.547,0.5,0.513,12499729.4,6613421.4389,23743
1674432000000,2023-01-23,1INCHUSDT,0.513,0.552,0.513,0.535,15258451.9,8159077.4829,33774
1674345600000,2023-01-22,1INCHUSDT,0.501,0.543,0.494,0.513,15509998.8,8098988.4483,30176
1674259200000,2023-01-21,1INCHUSDT,0.493,0.518,0.48,0.501,12707424.7,6396216.3029,26248
1674172800000,2023-01-20,1INCHUSDT,0.463,0.494,0.453,0.494,6774485.3,3177689.6703,22185
1674086400000,2023-01-19,1INCHUSDT,0.446,0.478,0.446,0.463,13685898.0,6290811.1604,27668
1674000000000,2023-01-18,1INCHUSDT,0.48,0.487,0.44,0.446,9190510.7,4232671.0774,18419
1673913600000,2023-01-17,1INCHUSDT,0.488,0.498,0.476,0.479,5433994.5,2633550.991,11002
1673827200000,2023-01-16,1INCHUSDT,0.5,0.513,0.47,0.488,9197598.3,4542836.03,17076
1673740800000,2023-01-15,1INCHUSDT,0.482,0.504,0.47,0.5,8888790.4,4345471.3276,17054
1673654400000,2023-01-14,1INCHUSDT,0.465,0.503,0.449,0.481,17309531.3,8335546.6979,27888
1673568000000,2023-01-13,1INCHUSDT,0.451,0.468,0.443,0.465,4559780.2,2072463.5274,9175
1673481600000,2023-01-12,1INCHUSDT,0.435,0.455,0.428,0.45,7158139.8,3159784.9246,16923
1673395200000,2023-01-11,1INCHUSDT,0.432,0.437,0.413,0.434,4517981.1,1908262.7996,15063
1673308800000,2023-01-10,1INCHUSDT,0.421,0.437,0.416,0.432,6893896.7,2964085.2786,14983
1673222400000,2023-01-09,1INCHUSDT,0.41,0.435,0.407,0.422,7912343.4,3344252.5262,12821
1673136000000,2023-01-08,1INCHUSDT,0.398,0.412,0.393,0.409,5202312.2,2101479.2808,7128
1673049600000,2023-01-07,1INCHUSDT,0.396,0.401,0.393,0.398,1834895.3,728954.6993,3543
1672963200000,2023-01-06,1INCHUSDT,0.388,0.398,0.381,0.397,6144865.6,2385048.6177,9065
1672876800000,2023-01-05,1INCHUSDT,0.395,0.413,0.385,0.388,7500827.3,2952470.4513,16805
1672790400000,2023-01-04,1INCHUSDT,0.387,0.403,0.384,0.395,4034141.8,1594019.7914,14140
1672704000000,2023-01-03,1INCHUSDT,0.395,0.4,0.382,0.386,3465795.5,1355286.2025,10382
1672617600000,2023-01-02,1INCHUSDT,0.386,0.399,0.378,0.396,2408420.6,935685.1981,5338
1672531200000,2023-01-01,1INCHUSDT,0.383,0.387,0.38,0.386,1003164.7,384439.0836,2375
1672444800000,2022-12-31,1INCHUSDT,0.377,0.392,0.374,0.383,2613452.1,1008520.3098,4910
1672358400000,2022-12-30,1INCHUSDT,0.381,0.387,0.371,0.376,2167412.3,817993.1975,9167
1672272000000,2022-12-29,1INCHUSDT,0.384,0.387,0.374,0.382,4136422.6,1574224.9509,10894
1672185600000,2022-12-28,1INCHUSDT,0.401,0.402,0.38,0.384,3668751.6,1425886.3067,11054
1672099200000,2022-12-27,1INCHUSDT,0.406,0.415,0.396,0.401,3215882.1,1296194.1525,7291
1672012800000,2022-12-26,1INCHUSDT,0.399,0.407,0.396,0.405,1644031.1,662737.9466,4111
1671926400000,2022-12-25,1INCHUSDT,0.4,0.402,0.389,0.398,1670914.4,660561.1817,4164
1671840000000,2022-12-24,1INCHUSDT,0.398,0.403,0.397,0.399,870923.7,348672.6164,2594
1671753600000,2022-12-23,1INCHUSDT,0.397,0.399,0.39,0.398,1445583.8,570731.1934,9499
1671667200000,2022-12-22,1INCHUSDT,0.399,0.402,0.389,0.397,1901395.0,754274.1444,6469
1671580800000,2022-12-21,1INCHUSDT,0.404,0.407,0.394,0.399,3102214.7,1237016.5354,4871
1671494400000,2022-12-20,1INCHUSDT,0.381,0.407,0.379,0.404,3573832.8,1417442.624,5752
1671408000000,2022-12-19,1INCHUSDT,0.391,0.402,0.381,0.382,4999108.7,1970043.823,8321
1671321600000,2022-12-18,1INCHUSDT,0.389,0.395,0.382,0.39,1758512.0,683868.1432,3351
1671235200000,2022-12-17,1INCHUSDT,0.385,0.396,0.376,0.389,5806434.7,2220471.7112,9533
1671148800000,2022-12-16,1INCHUSDT,0.424,0.43,0.365,0.385,9279721.2,3679454.2721,17550
1671062400000,2022-12-15,1INCHUSDT,0.431,0.436,0.422,0.424,2125828.9,910763.3972,3903
1670976000000,2022-12-14,1INCHUSDT,0.442,0.445,0.428,0.432,3226134.3,1411965.7345,5970
1670889600000,2022-12-13,1INCHUSDT,0.432,0.444,0.417,0.442,4930993.7,2131351.9447,8466
1670803200000,2022-12-12,1INCHUSDT,0.435,0.435,0.412,0.431,4389545.4,1859848.6358,6889
1670716800000,2022-12-11,1INCHUSDT,0.444,0.451,0.433,0.435,2985448.5,1327211.9797,4380
1670630400000,2022-12-10,1INCHUSDT,0.441,0.447,0.44,0.443,3156757.6,1399156.1372,4088
1670544000000,2022-12-09,1INCHUSDT,0.448,0.451,0.432,0.441,4929816.5,2184145.1409,7183
1670457600000,2022-12-08,1INCHUSDT,0.443,0.449,0.43,0.447,7579850.2,3320180.4829,10019
1670371200000,2022-12-07,1INCHUSDT,0.475,0.476,0.429,0.444,16044687.3,7235945.7782,20331
1670284800000,2022-12-06,1INCHUSDT,0.484,0.49,0.467,0.476,10745041.1,5115601.6939,16756
1670198400000,2022-12-05,1INCHUSDT,0.497,0.504,0.48,0.484,9950352.4,4881879.7639,16658
1670112000000,2022-12-04,1INCHUSDT,0.487,0.499,0.486,0.497,4155012.1,2046354.398,8605
1670025600000,2022-12-03,1INCHUSDT,0.504,0.507,0.481,0.487,11276261.1,5608353.4839,17745
1669939200000,2022-12-02,1INCHUSDT,0.51,0.512,0.495,0.504,12040613.0,6039052.4934,20852
1669852800000,2022-12-01,1INCHUSDT,0.527,0.528,0.504,0.51,4756502.1,2443127.9573,10178
1669766400000,2022-11-30,1INCHUSDT,0.519,0.532,0.512,0.527,3803624.2,1989438.0725,8580
1669680000000,2022-11-29,1INCHUSDT,0.516,0.525,0.509,0.519,2769089.2,1431940.3427,6703
1669593600000,2022-11-28,1INCHUSDT,0.519,0.541,0.5,0.516,4539510.8,2347953.994,12853
1669507200000,2022-11-27,1INCHUSDT,0.519,0.563,0.515,0.52,7961920.0,4300467.7483,19919
1669420800000,2022-11-26,1INCHUSDT,0.517,0.527,0.514,0.52,1875382.6,977724.9566,5833
1669334400000,2022-11-25,1INCHUSDT,0.528,0.528,0.512,0.518,2078930.6,1075514.4974,5635
1669248000000,2022-11-24,1INCHUSDT,0.546,0.548,0.522,0.527,2778949.1,1483244.7711,7231
1669161600000,2022-11-23,1INCHUSDT,0.538,0.547,0.529,0.546,3182885.8,1713805.2581,8974
1669075200000,2022-11-22,1INCHUSDT,0.502,0.538,0.5,0.537,4627309.0,2393408.109,21753
1668988800000,2022-11-21,1INCHUSDT,0.504,0.509,0.489,0.503,4028140.1,2013744.3158,11746
1668902400000,2022-11-20,1INCHUSDT,0.538,0.541,0.502,0.504,2331726.4,1219667.2061,8352
1668816000000,2022-11-19,1INCHUSDT,0.529,0.548,0.518,0.538,3569148.7,1906405.6268,8345
1668729600000,2022-11-18,1INCHUSDT,0.516,0.535,0.515,0.529,3184551.2,1681502.1169,7352
1668643200000,2022-11-17,1INCHUSDT,0.523,0.526,0.504,0.516,44063424.4,22716713.4114,30030
1668556800000,2022-11-16,1INCHUSDT,0.531,0.544,0.513,0.522,4315717.0,2282973.9271,11317
1668470400000,2022-11-15,1INCHUSDT,0.515,0.544,0.508,0.531,5465781.4,2882180.1079,15461
1668384000000,2022-11-14,1INCHUSDT,0.521,0.525,0.473,0.516,10876604.0,5474793.6837,25162
1668297600000,2022-11-13,1INCHUSDT,0.508,0.531,0.49,0.521,11158675.2,5713107.139,29106
1668211200000,2022-11-12,1INCHUSDT,0.56,0.56,0.497,0.508,10043993.3,5150811.3454,23517
1668124800000,2022-11-11,1INCHUSDT,0.57,0.571,0.54,0.56,10395582.6,5746309.9519,22959
1668038400000,2022-11-10,1INCHUSDT,0.529,0.575,0.519,0.57,26698083.4,14681770.8612,49709
1667952000000,2022-11-09,1INCHUSDT,0.555,0.56,0.515,0.529,20840128.5,11172643.7755,41350
1667865600000,2022-11-08,1INCHUSDT,0.634,0.64,0.516,0.555,21336126.7,12382089.1834,51844
1667779200000,2022-11-07,1INCHUSDT,0.634,0.662,0.622,0.635,8017818.0,5136828.294,21432
1667692800000,2022-11-06,1INCHUSDT,0.647,0.675,0.629,0.634,9554653.4,6285584.6234,26723
1667606400000,2022-11-05,1INCHUSDT,0.652,0.664,0.632,0.646,7098888.7,4631428.5092,18800
1667520000000,2022-11-04,1INCHUSDT,0.608,0.653,0.605,0.653,10692416.5,6794499.5352,24434
1667433600000,2022-11-03,1INCHUSDT,0.59,0.616,0.589,0.608,6995875.0,4241724.8201,16340
1667347200000,2022-11-02,1INCHUSDT,0.607,0.611,0.577,0.59,4789845.9,2860100.1379,14041
1667260800000,2022-11-01,1INCHUSDT,0.612,0.626,0.606,0.607,3059128.9,1878791.924,7954
1667174400000,2022-10-31,1INCHUSDT,0.614,0.647,0.604,0.612,10901029.6,6821328.9988,23529
1667088000000,2022-10-30,1INCHUSDT,0.625,0.634,0.601,0.614,5022154.9,3095348.2793,12766
1667001600000,2022-10-29,1INCHUSDT,0.613,0.637,0.609,0.625,6183444.3,3845886.847,17070
1666915200000,2022-10-28,1INCHUSDT,0.594,0.622,0.583,0.614,5449405.9,3290002.8707,14491
1666828800000,2022-10-27,1INCHUSDT,0.609,0.623,0.592,0.595,4939785.2,3000491.8718,14122
1666742400000,2022-10-26,1INCHUSDT,0.583,0.618,0.582,0.61,6299487.6,3795650.4718,16547
1666656000000,2022-10-25,1INCHUSDT,0.567,0.594,0.565,0.582,4895718.2,2838019.0082,11455
1666569600000,2022-10-24,1INCHUSDT,0.58,0.584,0.56,0.566,3315793.0,1885354.1812,7933
1666483200000,2022-10-23,1INCHUSDT,0.571,0.581,0.559,0.58,3144344.7,1799831.6288,7584
1666396800000,2022-10-22,1INCHUSDT,0.569,0.574,0.558,0.571,2117292.8,1197732.2842,6510
1666310400000,2022-10-21,1INCHUSDT,0.562,0.571,0.543,0.568,7463365.8,4164708.6444,13044
1666224000000,2022-10-20,1INCHUSDT,0.566,0.582,0.555,0.563,5379152.6,3050649.8664,11749
1666137600000,2022-10-19,1INCHUSDT,0.57,0.583,0.557,0.566,5919072.9,3371118.1875,12484
