Unix,Date,Symbol,Open,High,Low,Close,Volume FTM,Volume USDT,tradecount
1624665600000,2021-06-26,FTMUSDT,0.20565,0.217,0.1938,0.21266,139885004.2,28706091.770006,75722
1624579200000,2021-06-25,FTMUSDT,0.24216,0.24788,0.20416,0.20566,171625647.4,38199598.418764,103488
1624492800000,2021-06-24,FTMUSDT,0.24645,0.25898,0.23283,0.24217,127375620.9,31246579.400861,70842
1624406400000,2021-06-23,FTMUSDT,0.2171,0.26858,0.20672,0.24655,190866299.1,46656773.978849,102686
1624320000000,2021-06-22,FTMUSDT,0.23465,0.25426,0.18601,0.21694,330483806.8,71907835.002514,169813
1624233600000,2021-06-21,FTMUSDT,0.30889,0.31169,0.2335,0.23483,247291531.9,66688925.31358,141400
1624147200000,2021-06-20,FTMUSDT,0.30774,0.32009,0.282,0.30849,161417196.1,48872880.610754,96126
1624060800000,2021-06-19,FTMUSDT,0.29554,0.32874,0.282,0.30788,163831162.5,50828925.404702,107434
1623974400000,2021-06-18,FTMUSDT,0.3217,0.34688,0.28514,0.29544,253023040.5,80628393.493554,182382
1623888000000,2021-06-17,FTMUSDT,0.28029,0.324,0.2789,0.32138,220521387.9,67510437.446572,140777
1623801600000,2021-06-16,FTMUSDT,0.28852,0.2914,0.2666,0.28072,120155278.1,33527700.588608,83503
1623715200000,2021-06-15,FTMUSDT,0.29997,0.30941,0.28076,0.28873,132806304.3,38994561.709036,88047
1623628800000,2021-06-14,FTMUSDT,0.2801,0.30848,0.269,0.2996,171295005.3,49566318.777727,117281
1623542400000,2021-06-13,FTMUSDT,0.23909,0.28353,0.23217,0.27994,133506583.5,33713475.366072,75061
1623456000000,2021-06-12,FTMUSDT,0.25283,0.25312,0.23188,0.2391,125814028.0,30341123.423569,73242
1623369600000,2021-06-11,FTMUSDT,0.27935,0.2848,0.24811,0.25289,113630632.9,30800010.141134,69156
1623283200000,2021-06-10,FTMUSDT,0.30648,0.30901,0.27023,0.27958,137475367.1,39980559.856903,77737
1623196800000,2021-06-09,FTMUSDT,0.29201,0.32,0.27245,0.30596,177626590.3,52554577.432003,103728
1623110400000,2021-06-08,FTMUSDT,0.29823,0.30642,0.25715,0.29187,215454373.1,61378732.638378,117727
1623024000000,2021-06-07,FTMUSDT,0.34087,0.35714,0.29293,0.29852,145415287.7,48470376.426656,95151
1622937600000,2021-06-06,FTMUSDT,0.31232,0.34836,0.31059,0.34117,99811318.9,32896490.035299,64988
1622851200000,2021-06-05,FTMUSDT,0.33545,0.3635,0.2985,0.3128,177355531.9,59322419.922253,120425
1622764800000,2021-06-04,FTMUSDT,0.38179,0.38403,0.3153,0.33568,191138985.9,64579263.679404,126752
1622678400000,2021-06-03,FTMUSDT,0.34942,0.405,0.34273,0.3817,239618035.5,90258187.497159,182232
